,Year,Month,Day,height_cm,weight_kg,wage_usd,wage_usd,release_clause_usd,team_position,contract_valid_until
211,2019.0,1.0,1.0,177,75,52430.0,52430.0,52858000.0,RW,2023.0
212,2020.0,9.0,19.0,178,68,90950.0,90950.0,61846000.0,SUB,2025.0
213,2018.0,7.0,5.0,189,70,74900.0,74900.0,60990000.0,RCM,2023.0
214,2019.0,7.0,1.0,182,76,74900.0,74900.0,48899000.0,SUB,2024.0
215,2017.0,7.0,8.0,180,80,95230.0,95230.0,61311000.0,RCM,2023.0
216,2020.0,7.0,27.0,177,68,101650.0,101650.0,61311000.0,CAM,2025.0
218,2018.0,8.0,8.0,186,88,81320.0,81320.0,44405000.0,GK,2024.0
219,2015.0,8.0,18.0,191,91,33170.0,33170.0,45475000.0,GK,2022.0
220,2015.0,7.0,1.0,182,76,171200.0,171200.0,65912000.00000001,SUB,2023.0
221,2017.0,7.0,1.0,180,72,56710.0,56710.0,49434000.0,RDM,2023.0
222,2019.0,8.0,5.0,194,100,128400.00000000001,128400.00000000001,50718000.0,LCB,2024.0
223,2019.0,1.0,1.0,190,80,38520.0,38520.0,49327000.0,CAM,2022.0
224,2014.0,12.0,13.0,171,70,69550.0,69550.0,63665000.0,RM,2024.0
225,2020.0,9.0,4.0,189,84,37450.0,37450.0,46545000.0,GK,2024.0
226,2019.0,8.0,1.0,183,73,104860.0,104860.0,59171000.0,RW,2024.0
227,2019.0,7.0,1.0,184,74,69550.0,69550.0,62488000.0,SUB,2024.0
228,2018.0,7.0,1.0,188,77,21400.0,21400.0,37129000.0,GK,2022.0
229,2020.0,2.0,18.0,186,86,77040.0,77040.0,50290000.0,RCB,2024.0
230,2015.0,8.0,7.0,186,81,29960.0,29960.0,45368000.0,GK,2023.0
231,2018.0,7.0,16.0,192,85,32100.000000000004,32100.000000000004,43014000.0,GK,2022.0
232,2020.0,7.0,1.0,190,84,78110.0,78110.0,59171000.0,RS,2023.0
233,2017.0,8.0,18.0,185,72,49220.0,49220.0,48899000.0,RCB,2022.0
234,2016.0,7.0,20.0,200,76,63130.00000000001,63130.00000000001,39055000.0,GK,2023.0
235,2019.0,7.0,3.0,188,84,42800.0,42800.0,61632000.0,LW,2024.0
236,2017.0,7.0,4.0,191,86,51360.0,51360.0,43656000.0,RCB,2022.0
237,2017.0,7.0,24.0,178,72,41730.0,41730.0,50076000.0,RCB,2023.0
238,2017.0,7.0,1.0,196,81,34240.0,34240.0,35096000.0,GK,2022.0
239,2019.0,7.0,4.0,192,92,43870.0,43870.0,3852000.0,SUB,2021.0
240,2019.0,7.0,4.0,187,74,43870.0,43870.0,17976000.0,RCB,2022.0
241,2020.0,9.0,1.0,184,78,41730.0,41730.0,38199000.0,LCM,2024.0
242,2013.0,9.0,2.0,180,71,107000.0,107000.0,39697000.0,RES,2021.0
243,2017.0,1.0,30.0,175,77,63130.00000000001,63130.00000000001,27499000.0,LW,2024.0
244,2009.0,8.0,18.0,185,78,77040.0,77040.0,29104000.0,RB,2021.0
245,2014.0,6.0,30.0,189,87,36380.0,36380.0,31458000.0,SUB,2022.0
246,2020.0,8.0,14.0,175,77,117700.0,117700.0,39697000.0,SUB,2023.0
247,2015.0,9.0,1.0,186,80,123050.0,123050.0,34454000.0,SUB,2022.0
248,2011.0,8.0,11.0,190,74,68480.0,68480.0,19367000.0,GK,2021.0
249,2011.0,7.0,14.0,192,90,87740.0,87740.0,29104000.0,RCB,2021.0
250,2019.0,7.0,8.0,192,83,25680.0,25680.0,34240000.0,ST,2022.0
251,2020.0,9.0,8.0,187,81,112350.0,112350.0,14124000.0,SUB,2021.0
252,2019.0,7.0,1.0,183,76,104860.0,104860.0,37985000.0,CAM,2023.0
253,2018.0,7.0,3.0,176,65,38520.0,38520.0,48364000.0,RCM,2023.0
254,2018.0,7.0,17.0,180,72,24610.0,24610.0,26964000.0,LCB,2022.0
255,2012.0,7.0,1.0,187,80,535.0,535.0,43549000.0,RB,2022.0
256,2014.0,7.0,1.0,187,82,39590.0,39590.0,27285000.0,GK,2023.0
257,2019.0,7.0,9.0,190,84,133750.0,133750.0,32956000.000000004,SUB,2023.0
258,2020.0,8.0,29.0,182,77,149800.0,149800.0,47080000.0,SUB,2024.0
259,2020.0,9.0,7.0,180,75,112350.0,112350.0,45796000.0,RW,2022.0
260,2015.0,7.0,2.0,188,83,21400.0,21400.0,42800000.0,LCM,2022.0
261,2019.0,8.0,2.0,188,85,17120.0,17120.0,28890000.0,GK,2023.0
262,2011.0,7.0,1.0,184,81,83460.0,83460.0,38199000.0,RM,2023.0
263,2018.0,7.0,4.0,188,85,31030.0,31030.0,31458000.0,GK,2021.0
264,2017.0,7.0,1.0,179,70,63130.00000000001,63130.00000000001,46759000.0,RW,2021.0
265,2020.0,9.0,8.0,181,72,71690.0,71690.0,52644000.0,RES,2024.0
266,2019.0,7.0,1.0,174,72,27820.0,27820.0,33705000.0,CAM,2024.0
267,2015.0,8.0,31.0,188,87,68480.0,68480.0,34561000.0,LCB,2022.0
268,2015.0,1.0,16.0,177,73,59920.0,59920.0,40018000.0,LW,2022.0
269,2017.0,7.0,1.0,183,76,72760.0,72760.0,43656000.0,LM,2022.0
270,2019.0,1.0,1.0,190,85,34240.0,34240.0,27499000.0,GK,2023.0
271,2019.0,1.0,1.0,185,80,43870.0,43870.0,39697000.0,RCB,2023.0
272,2019.0,7.0,3.0,181,70,54570.0,54570.0,77040000.0,LS,2026.0
273,2019.0,1.0,1.0,181,72,42800.0,42800.0,44512000.0,LB,2025.0
274,2016.0,7.0,1.0,175,70,69550.0,69550.0,58422000.0,LCM,2023.0
275,2020.0,6.0,30.0,172,66,29960.0,29960.0,65270000.00000001,LM,2023.0
276,2020.0,8.0,4.0,184,77,103790.0,103790.0,58101000.0,SUB,2025.0
